skip ('ds2g12_017', 'screen')
skip ('ds2g12_008', 'screen')
skip ('ds2g12_010', 'screen')
skip ('ds2g12_018', 'screen')
skip ('ds2g12_014', 'screen')
skip ('ds2g12_020', 'screen')
skip ('ds2g12_009', 'screen')
skip ('ds2g12_005', 'screen')
skip ('ds2g12_016', 'screen')
skip ('ds2g12_001', 'screen')
skip ('ds2g12_002', 'screen')
skip ('ds2g12_021', 'screen')
skip ('ds2g12_015', 'screen')
skip ('ds2g12_007', 'screen')
skip ('ds2g12_003', 'screen')
skip ('ds2g12_012', 'screen')
skip ('ds2g12_022', 'screen')
skip ('ds2g12_019', 'screen')
skip ('ds2g12_000', 'screen')
skip ('ds2g12_004', 'screen')
skip ('ds2g12_013', 'screen')
skip ('ds2g12_006', 'screen')
skip ('ds2g12_011', 'screen')
skip ('ds2g12_023', 'screen')
