skip ('ds2g2_015', 'screen')
skip ('ds2g2_004', 'screen')
skip ('ds2g2_008', 'screen')
skip ('ds2g2_017', 'screen')
skip ('ds2g2_002', 'screen')
skip ('ds2g2_022', 'screen')
skip ('ds2g2_016', 'screen')
skip ('ds2g2_006', 'screen')
skip ('ds2g2_012', 'screen')
skip ('ds2g2_018', 'screen')
skip ('ds2g2_021', 'screen')
skip ('ds2g2_023', 'screen')
skip ('ds2g2_014', 'screen')
skip ('ds2g2_003', 'screen')
skip ('ds2g2_007', 'screen')
skip ('ds2g2_005', 'screen')
skip ('ds2g2_010', 'screen')
skip ('ds2g2_019', 'screen')
skip ('ds2g2_000', 'screen')
skip ('ds2g2_001', 'screen')
skip ('ds2g2_013', 'screen')
skip ('ds2g2_009', 'screen')
skip ('ds2g2_011', 'screen')
skip ('ds2g2_020', 'screen')
