skip ('ds2_015', 'screen')
skip ('ds2_000', 'screen')
skip ('ds2_007', 'screen')
skip ('ds2_023', 'screen')
skip ('ds2_012', 'screen')
skip ('ds2_018', 'screen')
skip ('ds2_019', 'screen')
skip ('ds2_001', 'screen')
skip ('ds2_014', 'screen')
skip ('ds2_002', 'screen')
skip ('ds2_017', 'screen')
skip ('ds2_004', 'screen')
skip ('ds2_022', 'screen')
skip ('ds2_003', 'screen')
skip ('ds2_016', 'screen')
skip ('ds2_009', 'screen')
skip ('ds2_021', 'screen')
skip ('ds2_008', 'screen')
skip ('ds2_005', 'screen')
skip ('ds2_011', 'screen')
skip ('ds2_006', 'screen')
skip ('ds2_020', 'screen')
skip ('ds2_010', 'screen')
skip ('ds2_013', 'screen')
