t=4000: fr_site=0.005 pur=0.836 ncell=9082
t=8000: fr_site=0.045 pur=0.758 ncell=8965
t=12000: fr_site=0.126 pur=0.699 ncell=8900
t=16000: fr_site=0.218 pur=0.679 ncell=8928
t=20000: fr_site=0.306 pur=0.690 ncell=8981
t=24000: fr_site=0.375 pur=0.721 ncell=9017
t=28000: fr_site=0.415 pur=0.770 ncell=9013
t=32000: fr_site=0.452 pur=0.827 ncell=9070
t=36000: fr_site=0.478 pur=0.881 ncell=9090
t=40000: fr_site=0.492 pur=0.921 ncell=9102
idx=3 done 59s
