t=4000: fr_site=0.005 pur=0.878 ncell=9061
t=8000: fr_site=0.051 pur=0.818 ncell=8977
t=12000: fr_site=0.117 pur=0.780 ncell=8939
t=16000: fr_site=0.179 pur=0.770 ncell=8964
t=20000: fr_site=0.242 pur=0.772 ncell=9021
t=24000: fr_site=0.299 pur=0.799 ncell=9047
t=28000: fr_site=0.342 pur=0.840 ncell=9048
t=32000: fr_site=0.393 pur=0.888 ncell=9087
t=36000: fr_site=0.437 pur=0.931 ncell=9080
t=40000: fr_site=0.464 pur=0.958 ncell=9109
idx=1 done 59s
