island,cand,phase,seed,gen,declared_parent,actual_origin_op,valid_same_genome_base,evidence
2,p2g2_035_s2,seed2,965,2,p2g2_035,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_064_s3,seed3,966,2,p2g2_064,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_074_s2,seed2,965,3,p2g3_074,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_015_s2,seed2,965,3,p2g3_015,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_039_s2,seed2,965,3,p2g3_039,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_036_s2,seed2,965,3,p2g3_036,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_037_s2,seed2,965,3,p2g3_037,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_061_s2,seed2,965,3,p2g3_061,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_067_s2,seed2,965,3,p2g3_067,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_071_s2,seed2,965,3,p2g3_071,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_020_s2,seed2,965,3,p2g3_020,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_034_s3,seed3,966,2,p2g2_034,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_043_s3,seed3,966,2,p2g2_043,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_058_s3,seed3,966,2,p2g2_058,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_053_s3,seed3,966,2,p2g2_053,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_042_s3,seed3,966,2,p2g2_042,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_073_s3,seed3,966,2,p2g2_073,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_014_s3,seed3,966,2,p2g2_014,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_022_s3,seed3,966,2,p2g2_022,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_055_s3,seed3,966,2,p2g2_055,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g2_025_s3,seed3,966,2,p2g2_025,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
