island,cohort,op,W9,base_candidates_n,unique_ghashes,screen_status_ok_n,screen_status_ok_rate,screen_partial_n,screen_full_n,screen_missing_C9_n,screen_success_n,screen_success_rate,screen_partial_success_n,screen_full_success_n,selected_declared_n,selected_valid_n,complete_valid_pairs_n,declared_pairs_n,invalid_confirmation_rows,any_seed_success_n,any_confirmed_n,any_confirmed_per_all_bases,any_confirmed_per_selected,screen_plus_any_confirmed_n,robust_three_seeds_n,robust_per_all_bases,robust_per_complete_valid_pairs,robust_partial_only_n,robust_partial_per_all_bases
2,all_g1_12,delete_bilin,0.4,48,35,48,1.0,48,0,0,17,0.3541666666666667,17,0,13,13,11,12,1,18,3,0.0625,0.23076923076923078,2,1,0.020833333333333332,0.09090909090909091,1,0.020833333333333332
2,all_g1_12,dup_act,0.25,56,56,35,0.625,35,0,21,0,0.0,0,0,17,17,14,14,0,1,1,0.017857142857142856,0.058823529411764705,0,0,0.0,0.0,0,0.0
2,all_g1_12,dup_act,0.4,56,56,35,0.625,35,0,21,0,0.0,0,0,17,17,14,14,0,1,1,0.017857142857142856,0.058823529411764705,0,0,0.0,0.0,0,0.0
2,all_g1_12,immigrate,0.25,165,165,79,0.47878787878787876,79,0,86,0,0.0,0,0,5,5,5,5,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2,all_g1_12,immigrate,0.4,165,165,79,0.47878787878787876,79,0,86,0,0.0,0,0,5,5,5,5,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2,all_g1_12,merge_cross_edge,0.25,145,145,142,0.9793103448275862,142,0,3,45,0.3103448275862069,45,0,61,61,57,59,2,48,18,0.12413793103448276,0.29508196721311475,15,8,0.05517241379310345,0.14035087719298245,8,0.05517241379310345
2,all_g1_12,merge_cross_edge,0.4,145,145,142,0.9793103448275862,142,0,3,37,0.25517241379310346,37,0,61,61,57,59,2,39,15,0.10344827586206896,0.2459016393442623,13,6,0.041379310344827586,0.10526315789473684,6,0.041379310344827586
2,all_g1_12,merge_share_chan,0.25,25,24,7,0.28,7,0,18,0,0.0,0,0,3,3,3,3,0,1,1,0.04,0.3333333333333333,0,0,0.0,0.0,0,0.0
2,all_g1_12,merge_share_chan,0.4,25,24,7,0.28,7,0,18,0,0.0,0,0,3,3,3,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2,all_g1_12,merge_slow_tanh,0.25,30,30,30,1.0,30,0,0,8,0.26666666666666666,8,0,12,12,12,12,0,8,2,0.06666666666666667,0.16666666666666666,2,2,0.06666666666666667,0.16666666666666666,2,0.06666666666666667
2,all_g1_12,merge_slow_tanh,0.4,30,30,30,1.0,30,0,0,5,0.16666666666666666,5,0,12,12,12,12,0,5,2,0.06666666666666667,0.16666666666666666,2,2,0.06666666666666667,0.16666666666666666,2,0.06666666666666667
2,all_g1_12,merge_spatial_ic,0.25,92,36,92,1.0,84,8,0,35,0.3804347826086957,33,2,32,32,29,29,0,40,15,0.16304347826086957,0.46875,10,8,0.08695652173913043,0.27586206896551724,8,0.08695652173913043
2,all_g1_12,merge_spatial_ic,0.4,92,36,92,1.0,84,8,0,30,0.32608695652173914,29,1,32,32,29,29,0,35,14,0.15217391304347827,0.4375,9,7,0.07608695652173914,0.2413793103448276,7,0.07608695652173914
2,all_g1_12,mint_bilin,0.25,172,172,172,1.0,172,0,0,64,0.37209302325581395,64,0,53,53,49,50,1,70,19,0.11046511627906977,0.3584905660377358,13,9,0.05232558139534884,0.1836734693877551,9,0.05232558139534884
2,all_g1_12,mint_bilin,0.4,172,172,172,1.0,172,0,0,56,0.32558139534883723,56,0,53,53,49,50,1,62,18,0.10465116279069768,0.33962264150943394,12,8,0.046511627906976744,0.16326530612244897,8,0.046511627906976744
2,all_g1_12,mutate,0.25,216,216,205,0.9490740740740741,205,0,11,46,0.21296296296296297,46,0,89,89,76,78,2,51,21,0.09722222222222222,0.23595505617977527,16,9,0.041666666666666664,0.11842105263157894,9,0.041666666666666664
2,all_g1_12,mutate,0.4,216,216,205,0.9490740740740741,205,0,11,38,0.17592592592592593,38,0,89,89,76,78,2,45,21,0.09722222222222222,0.23595505617977527,14,8,0.037037037037037035,0.10526315789473684,8,0.037037037037037035
both,baseline_g1_7,ALL,0.25,1376,1278,1127,0.8190406976744186,1114,13,249,281,0.20421511627906977,275,6,496,496,435,446,11,325,148,0.10755813953488372,0.29838709677419356,104,67,0.04869186046511628,0.15402298850574714,66,0.04796511627906977
both,baseline_g1_7,ALL,0.4,1376,1278,1127,0.8190406976744186,1114,13,249,241,0.1751453488372093,237,4,496,496,435,446,11,281,130,0.09447674418604651,0.2620967741935484,90,55,0.03997093023255814,0.12643678160919541,54,0.03924418604651163
both,baseline_g1_7,add_chan,0.25,112,112,110,0.9821428571428571,110,0,2,26,0.23214285714285715,26,0,60,60,53,57,4,34,20,0.17857142857142858,0.3333333333333333,12,8,0.07142857142857142,0.1509433962264151,8,0.07142857142857142
both,baseline_g1_7,add_chan,0.4,112,112,110,0.9821428571428571,110,0,2,26,0.23214285714285715,26,0,60,60,53,57,4,31,17,0.15178571428571427,0.2833333333333333,12,6,0.05357142857142857,0.11320754716981132,6,0.05357142857142857
both,baseline_g1_7,delete_bilin,0.25,56,34,56,1.0,56,0,0,19,0.3392857142857143,19,0,21,21,18,19,1,20,7,0.125,0.3333333333333333,6,5,0.08928571428571429,0.2777777777777778,5,0.08928571428571429
both,baseline_g1_7,delete_bilin,0.4,56,34,56,1.0,56,0,0,17,0.30357142857142855,17,0,21,21,18,19,1,19,7,0.125,0.3333333333333333,5,3,0.05357142857142857,0.16666666666666666,3,0.05357142857142857
both,baseline_g1_7,dup_act,0.25,112,112,75,0.6696428571428571,75,0,37,0,0.0,0,0,39,39,33,33,0,1,1,0.008928571428571428,0.02564102564102564,0,0,0.0,0.0,0,0.0
both,baseline_g1_7,dup_act,0.4,112,112,75,0.6696428571428571,75,0,37,0,0.0,0,0,39,39,33,33,0,1,1,0.008928571428571428,0.02564102564102564,0,0,0.0,0.0,0,0.0
both,baseline_g1_7,immigrate,0.25,280,280,124,0.44285714285714284,124,0,156,0,0.0,0,0,8,8,7,7,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,baseline_g1_7,immigrate,0.4,280,280,124,0.44285714285714284,124,0,156,0,0.0,0,0,8,8,7,7,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,baseline_g1_7,merge_cross_edge,0.25,219,219,212,0.9680365296803652,212,0,7,65,0.2968036529680365,65,0,100,100,90,92,2,77,36,0.1643835616438356,0.36,24,11,0.0502283105022831,0.12222222222222222,11,0.0502283105022831
both,baseline_g1_7,merge_cross_edge,0.4,219,219,212,0.9680365296803652,212,0,7,57,0.2602739726027397,57,0,100,100,90,92,2,67,31,0.1415525114155251,0.31,21,8,0.0365296803652968,0.08888888888888889,8,0.0365296803652968
both,baseline_g1_7,merge_share_chan,0.25,51,47,15,0.29411764705882354,15,0,36,0,0.0,0,0,9,9,7,7,0,2,2,0.0392156862745098,0.2222222222222222,0,0,0.0,0.0,0,0.0
both,baseline_g1_7,merge_share_chan,0.4,51,47,15,0.29411764705882354,15,0,36,0,0.0,0,0,9,9,7,7,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,baseline_g1_7,merge_slow_tanh,0.25,42,42,41,0.9761904761904762,41,0,1,14,0.3333333333333333,14,0,22,22,21,21,0,16,8,0.19047619047619047,0.36363636363636365,6,5,0.11904761904761904,0.23809523809523808,5,0.11904761904761904
both,baseline_g1_7,merge_slow_tanh,0.4,42,42,41,0.9761904761904762,41,0,1,9,0.21428571428571427,9,0,22,22,21,21,0,12,6,0.14285714285714285,0.2727272727272727,3,3,0.07142857142857142,0.14285714285714285,3,0.07142857142857142
both,baseline_g1_7,merge_spatial_ic,0.25,112,43,112,1.0,99,13,0,52,0.4642857142857143,46,6,49,49,44,44,0,59,23,0.20535714285714285,0.46938775510204084,16,12,0.10714285714285714,0.2727272727272727,11,0.09821428571428571
both,baseline_g1_7,merge_spatial_ic,0.4,112,43,112,1.0,99,13,0,45,0.4017857142857143,41,4,49,49,44,44,0,51,21,0.1875,0.42857142857142855,15,12,0.10714285714285714,0.2727272727272727,11,0.09821428571428571
both,baseline_g1_7,mint_bilin,0.25,168,168,168,1.0,168,0,0,57,0.3392857142857143,57,0,72,72,61,63,2,65,26,0.15476190476190477,0.3611111111111111,18,11,0.06547619047619048,0.18032786885245902,11,0.06547619047619048
both,baseline_g1_7,mint_bilin,0.4,168,168,168,1.0,168,0,0,51,0.30357142857142855,51,0,72,72,61,63,2,59,23,0.13690476190476192,0.3194444444444444,15,10,0.05952380952380952,0.16393442622950818,10,0.05952380952380952
both,baseline_g1_7,mutate,0.25,224,224,214,0.9553571428571429,214,0,10,48,0.21428571428571427,48,0,116,116,101,103,2,51,25,0.11160714285714286,0.21551724137931033,22,15,0.06696428571428571,0.1485148514851485,15,0.06696428571428571
both,baseline_g1_7,mutate,0.4,224,224,214,0.9553571428571429,214,0,10,36,0.16071428571428573,36,0,116,116,101,103,2,41,24,0.10714285714285714,0.20689655172413793,19,13,0.05803571428571429,0.12871287128712872,13,0.05803571428571429
both,transition_g8,ALL,0.25,163,145,156,0.9570552147239264,156,0,7,49,0.3006134969325153,49,0,47,47,46,46,0,52,10,0.06134969325153374,0.2127659574468085,7,6,0.03680981595092025,0.13043478260869565,6,0.03680981595092025
both,transition_g8,ALL,0.4,163,145,156,0.9570552147239264,156,0,7,38,0.2331288343558282,38,0,47,47,46,46,0,41,9,0.05521472392638037,0.19148936170212766,6,5,0.03067484662576687,0.10869565217391304,5,0.03067484662576687
both,transition_g8,add_chan,0.25,16,16,16,1.0,16,0,0,3,0.1875,3,0,4,4,4,4,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,transition_g8,add_chan,0.4,16,16,16,1.0,16,0,0,2,0.125,2,0,4,4,4,4,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,transition_g8,delete_bilin,0.25,8,8,8,1.0,8,0,0,3,0.375,3,0,3,3,3,3,0,4,3,0.375,1.0,2,1,0.125,0.3333333333333333,1,0.125
both,transition_g8,delete_bilin,0.4,8,8,8,1.0,8,0,0,3,0.375,3,0,3,3,3,3,0,3,2,0.25,0.6666666666666666,2,1,0.125,0.3333333333333333,1,0.125
both,transition_g8,immigrate,0.25,10,10,5,0.5,5,0,5,0,0.0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0.0,,0,0.0
both,transition_g8,immigrate,0.4,10,10,5,0.5,5,0,5,0,0.0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0.0,,0,0.0
both,transition_g8,merge_cross_edge,0.25,15,15,15,1.0,15,0,0,4,0.26666666666666666,4,0,7,7,7,7,0,4,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,transition_g8,merge_cross_edge,0.4,15,15,15,1.0,15,0,0,2,0.13333333333333333,2,0,7,7,7,7,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0
